event_name,description,category,location,date_time,price,past_attendance,popularity
Music Fest,Live music concert with top artists,Food,Mumbai,2026-07-12 16:30:22.482607,154,325,1
Yoga Session,Morning yoga and wellness session,Food,Pune,2026-05-19 16:30:22.482607,516,243,1
Dance Show,Learn Python and data science,Music,Jaipur,2026-07-21 16:30:22.482607,104,265,1
Music Fest,Morning yoga and wellness session,Tech,Jaipur,2026-05-28 16:30:22.482607,913,197,1
Food Festival,Painting workshop for beginners,Business,Chandigarh,2026-06-21 16:30:22.482607,931,256,1
Book Fair,AI and ML networking event,Art,Jaipur,2026-06-09 16:30:22.482607,759,439,1
Startup Pitch,Street food and cultural fest,Food,Pune,2026-05-26 16:30:22.482607,516,64,0
Tech Meetup,Morning yoga and wellness session,Tech,Mumbai,2026-06-06 16:30:22.482607,348,141,0
Book Fair,AI and ML networking event,Food,Chandigarh,2026-06-17 16:30:22.482607,638,329,1
Book Fair,Pitch your startup to investors,Education,Pune,2026-07-28 16:30:22.482607,626,128,0
Dance Show,Business growth strategies and networking,Business,Pune,2026-07-13 16:30:22.482607,306,150,0
Food Festival,Live dance performances,Business,Bangalore,2026-07-13 16:30:22.482607,317,239,1
Dance Show,Live music concert with top artists,Music,Jaipur,2026-06-29 16:30:22.482607,71,455,1
Startup Pitch,Live dance performances,Food,Delhi,2026-07-31 16:30:22.482607,278,208,1
Coding Bootcamp,Pitch your startup to investors,Tech,Bangalore,2026-04-30 16:30:22.482607,928,22,0
Tech Meetup,Book exhibition and author meet,Education,Jaipur,2026-05-29 16:30:22.482607,487,225,1
Tech Meetup,Book exhibition and author meet,Education,Mumbai,2026-07-22 16:30:22.482607,614,221,1
Yoga Session,Street food and cultural fest,Music,Bangalore,2026-07-02 16:30:22.482607,89,312,1
Tech Meetup,Book exhibition and author meet,Health,Jaipur,2026-05-17 16:30:22.482607,587,484,1
Tech Meetup,Painting workshop for beginners,Art,Jaipur,2026-06-05 16:30:22.482607,735,164,1
Music Fest,Live dance performances,Health,Chandigarh,2026-07-08 16:30:22.482607,982,136,0
Art Workshop,Pitch your startup to investors,Business,Pune,2026-06-16 16:30:22.482607,394,237,1
Business Seminar,Live music concert with top artists,Tech,Chandigarh,2026-06-27 16:30:22.482607,370,459,1
Coding Bootcamp,Live dance performances,Business,Pune,2026-05-04 16:30:22.482607,685,138,0
Music Fest,Learn Python and data science,Health,Jaipur,2026-07-01 16:30:22.482607,401,284,1
Business Seminar,Learn Python and data science,Music,Chandigarh,2026-05-04 16:30:22.482607,522,15,0
Book Fair,AI and ML networking event,Business,Bangalore,2026-06-24 16:30:22.482607,361,478,1
Food Festival,Pitch your startup to investors,Music,Bangalore,2026-05-03 16:30:22.482607,620,329,1
Startup Pitch,Live dance performances,Art,Bangalore,2026-07-21 16:30:22.482607,73,448,1
Yoga Session,Morning yoga and wellness session,Business,Delhi,2026-06-18 16:30:22.482607,88,402,1
Food Festival,Pitch your startup to investors,Food,Chandigarh,2026-05-14 16:30:22.482607,94,281,1
Dance Show,Learn Python and data science,Food,Chandigarh,2026-06-21 16:30:22.482607,539,292,1
Book Fair,Live music concert with top artists,Art,Chandigarh,2026-08-02 16:30:22.482607,974,28,0
Art Workshop,Business growth strategies and networking,Music,Bangalore,2026-06-29 16:30:22.482607,41,438,1
Startup Pitch,AI and ML networking event,Food,Mumbai,2026-08-01 16:30:22.482607,621,85,0
Art Workshop,Business growth strategies and networking,Art,Pune,2026-05-06 16:30:22.482607,515,311,1
Yoga Session,Business growth strategies and networking,Tech,Delhi,2026-06-09 16:30:22.482607,886,31,0
Book Fair,Morning yoga and wellness session,Business,Jaipur,2026-06-03 16:30:22.482607,574,414,1
Business Seminar,Book exhibition and author meet,Art,Pune,2026-05-01 16:30:22.482607,703,382,1
Dance Show,Live music concert with top artists,Art,Bangalore,2026-05-20 16:30:22.482607,736,185,1
Business Seminar,Business growth strategies and networking,Art,Chandigarh,2026-04-29 16:30:22.482607,805,34,0
Coding Bootcamp,Live dance performances,Music,Bangalore,2026-06-03 16:30:22.482607,994,19,0
Business Seminar,Pitch your startup to investors,Business,Jaipur,2026-08-05 16:30:22.482607,723,367,1
Art Workshop,Live music concert with top artists,Health,Pune,2026-06-16 16:30:22.482607,937,343,1
Startup Pitch,AI and ML networking event,Art,Delhi,2026-05-14 16:30:22.482607,778,56,0
Dance Show,Business growth strategies and networking,Business,Bangalore,2026-06-15 16:30:22.482607,941,350,1
Tech Meetup,Live dance performances,Health,Mumbai,2026-07-04 16:30:22.482607,928,272,1
Food Festival,Painting workshop for beginners,Music,Mumbai,2026-06-02 16:30:22.482607,863,41,0
Dance Show,Pitch your startup to investors,Business,Pune,2026-07-04 16:30:22.482607,744,210,1
Business Seminar,Street food and cultural fest,Tech,Chandigarh,2026-05-13 16:30:22.482607,257,352,1
